ip,plantName,dateSown,image,
1.0.0.0.0,Cotton (UA 222),1/6/2015,cotton.png,6 222
1.0.0.0.2,Not Planted,,,
1.0.0.0.4,Cotton (UA 222),1/6/2015,cotton.png,6 48
1.0.0.1.1,Not Planted,,,
1.0.0.1.3,Not Planted,,,
1.0.0.2.0,Not Planted,,,
1.0.0.2.2,Cotton (UA 222),1/6/2015,cotton.png,
1.0.0.2.4,Cotton (UA 222),1/6/2015,cotton.png,
1.0.0.3.1,Cotton (UA 222),1/6/2015,cotton.png,
1.0.0.3.3,Not Planted,,,
1.0.0.4.0,Not Planted,,,
1.0.0.4.2,Not Planted,,,
1.0.0.4.4,Cotton (UA 222),1/6/2015,cotton.png,
1.0.0.5.1,Not Planted,,,
1.0.0.5.3,Not Planted,,,
1.0.0.6.0,Not Planted,,,
1.0.0.6.2,Not Planted,,,
1.0.0.6.4,Cotton (UA 48),1/6/2015,cotton.png,
1.0.0.7.1,Cotton (UA 48),1/6/2015,cotton.png,
1.0.0.7.3,Not Planted,,,
1.0.0.8.0,Cotton (UA 48),1/6/2015,cotton.png,
1.0.0.8.2,Cotton (UA 48),1/6/2015,cotton.png,
1.0.0.8.4,Not Planted,,,
1.0.0.9.1,Not Planted,,,
1.0.0.9.3,Not Planted,,,
1.0.0.10.0,Cotton (UA 48),1/6/2015,cotton.png,
1.0.0.10.2,Not Planted,,,
1.0.0.10.4,Cotton (UA 48),1/6/2015,cotton.png,
1.1.0.0.1,Lettuce (Buttercrunch),3/17/2015,lettuce.png,
1.1.0.0.3,Lettuce (Buttercrunch),3/17/2015,lettuce.png,
1.1.0.0.5,Lettuce (Buttercrunch),3/17/2015,lettuce.png,
1.1.0.1.0,Not Planted,,,
1.1.0.1.2,Not Planted,,,
1.1.0.1.4,Not Planted,,,
1.1.0.2.1,Kale (Dwarf Blue Curled),3/17/2015,kale.png,
1.1.0.2.3,Kale (Dwarf Blue Curled),3/17/2015,kale.png,
1.1.0.2.5,Kale (Dwarf Blue Curled),3/17/2015,kale.png,
1.1.0.3.0,Not Planted,,,
1.1.0.3.2,Not Planted,,,
1.1.0.3.4,Not Planted,,,
1.1.0.4.1,Mustard,3/17/2015,mustard.png,
1.1.0.4.3,Mustard,3/17/2015,mustard.png,
1.1.0.4.5,Mustard,3/17/2015,mustard.png,
1.1.0.5.0,Not Planted,,,
1.1.0.5.2,Not Planted,,,
1.1.0.5.4,Not Planted,,,
1.1.0.6.1,Lettuce (Red Velvet),3/17/2015,redvelvet.png,
1.1.0.6.3,Lettuce (Red Velvet),3/17/2015,redvelvet.png,
1.1.0.6.5,Lettuce (Red Velvet),3/17/2015,redvelvet.png,
1.1.0.7.0,Not Planted,,,
1.1.0.7.2,Not Planted,,,
1.1.0.7.4,Not Planted,,,
1.1.0.8.1,Arugula,3/17/2015,arugula.png,
1.1.0.8.3,Arugula,3/17/2015,arugula.png,
1.1.0.8.5,Arugula,3/17/2015,arugula.png,
1.1.0.9.0,Not Planted,,,
1.1.0.9.2,Not Planted,,,
1.1.0.9.4,Not Planted,,,
1.1.0.10.1,Lettuce (Salad Bowl),3/17/2015,spinach.png,
1.1.0.10.3,Lettuce (Salad Bowl),3/17/2015,spinach.png,
1.1.0.10.5,Lettuce (Salad Bowl),3/17/2015,spinach.png,
1.1.0.11.0,Not Planted,,,
1.1.0.11.2,Not Planted,,,
1.1.0.11.4,Not Planted,,,
1.1.1.0.1,Lettuce (Buttercrunch),3/17/2015,lettuce.png,
1.1.1.0.3,Lettuce (Buttercrunch),3/17/2015,lettuce.png,
1.1.1.0.5,Lettuce (Buttercrunch),3/17/2015,lettuce.png,
1.1.1.1.0,Not Planted,,,
1.1.1.1.2,Not Planted,,,
1.1.1.1.4,Not Planted,,,
1.1.1.2.1,Kale (Dwarf Blue Curled),3/17/2015,kale.png,
1.1.1.2.3,Kale (Dwarf Blue Curled),3/17/2015,kale.png,
1.1.1.2.5,Kale (Dwarf Blue Curled),3/17/2015,kale.png,
1.1.1.3.0,Not Planted,,,
1.1.1.3.2,Not Planted,,,
1.1.1.3.4,Not Planted,,,
1.1.1.4.1,Mustard,3/17/2015,mustard.png,
1.1.1.4.3,Mustard,3/17/2015,mustard.png,
1.1.1.4.5,Mustard,3/17/2015,mustard.png,
1.1.1.5.0,Not Planted,,,
1.1.1.5.2,Not Planted,,,
1.1.1.5.4,Not Planted,,,
1.1.1.6.1,Lettuce (Red Velvet),3/17/2015,redvelvet.png,
1.1.1.6.3,Not Planted,,redvelvet.png,
1.1.1.6.5,Lettuce (Red Velvet),,redvelvet.png,
1.1.1.7.0,Not Planted,3/17/2015,,
1.1.1.7.2,Not Planted,,,
1.1.1.7.4,Not Planted,,,
1.1.1.8.1,Arugula,3/17/2015,arugula.png,
1.1.1.8.3,Arugula,3/17/2015,arugula.png,
1.1.1.8.5,Arugula,3/17/2015,arugula.png,
1.1.1.9.0,Not Planted,,,
1.1.1.9.2,Not Planted,,,
1.1.1.9.4,Not Planted,,,
1.1.1.10.1,Lettuce (Salad bowl blend),3/17/2015,spinach.png,
1.1.1.10.3,Lettuce (Salad bowl blend),3/17/2015,spinach.png,
1.1.1.10.5,Lettuce (Salad bowl blend),3/17/2015,spinach.png,
1.1.1.11.0,Not Planted,,,
1.1.1.11.2,Not Planted,,,
1.1.1.11.4,Not Planted,,,
1.1.2.0.1,Lettuce (Buttercrunch),3/17/2015,lettuce.png,
1.1.2.0.3,Lettuce (Buttercrunch),3/17/2015,lettuce.png,
1.1.2.0.5,Lettuce (Buttercrunch),3/17/2015,lettuce.png,
1.1.2.1.0,Not Planted,,,
1.1.2.1.2,Not Planted,,,
1.1.2.1.4,Not Planted,,,
1.1.2.2.1,Kale (Dwarf Blue Curled),3/17/2015,kale.png,
1.1.2.2.3,Kale (Dwarf Blue Curled),3/17/2015,kale.png,
1.1.2.2.5,Kale (Dwarf Blue Curled),3/17/2015,kale.png,
1.1.2.3.0,Not Planted,,,
1.1.2.3.2,Not Planted,,,
1.1.2.3.4,Not Planted,,,
1.1.2.4.1,Mustard,3/17/2015,mustard.png,
1.1.2.4.3,Mustard,3/17/2015,mustard.png,
1.1.2.4.5,Not Planted,,,
1.1.2.5.0,Not Planted,,,
1.1.2.5.2,Not Planted,,,
1.1.2.5.4,Not Planted,,,
1.1.2.6.1,Lettuce (Red Velvet),3/17/2015,redvelvet.png,
1.1.2.6.3,Not Planted,,,
1.1.2.6.5,Lettuce (Red Velvet),3/17/2015,redvelvet.png,
1.1.2.7.0,Not Planted,,,
1.1.2.7.2,Not Planted,,,
1.1.2.7.4,Not Planted,,,
1.1.2.8.1,Arugula,3/17/2015,arugula.png,
1.1.2.8.3,Arugula,3/17/2015,arugula.png,
1.1.2.8.5,Arugula,3/17/2015,arugula.png,
1.1.2.9.0,Not Planted,,,
1.1.2.9.2,Not Planted,,,
1.1.2.9.4,Not Planted,,,
1.1.2.10.1,Lettuce (Salad bowl blend),3/17/2015,spinach.png,
1.1.2.10.3,Lettuce (Salad bowl blend),3/17/2015,spinach.png,
1.1.2.10.5,Not Planted,,,
1.1.2.11.0,Not Planted,,,
1.1.2.11.2,Not Planted,,,
1.1.2.11.4,Not Planted,,,
1.2.0.0.0,Not Planted,,,
1.2.0.0.2,Not Planted,,,
1.2.0.0.4,Not Planted,,,
1.2.0.1.1,Not Planted,,,
1.2.0.1.3,Not Planted,,,
1.2.0.2.0,Eggplant (Black Beauty),3/17/2015,eggplant.png,
1.2.0.2.2,Not Planted,,,
1.2.0.2.4,Eggplant (Black Beauty),3/17/2015,eggplant.png,
1.2.0.3.1,Not Planted,,,
1.2.0.3.3,Not Planted,,,
1.2.0.4.0,Not Planted,,,
1.2.0.4.2,Not Planted,,,
1.2.0.4.4,Not Planted,,,
1.2.0.5.1,Not Planted,,,
1.2.0.5.3,Not Planted,,,
1.2.0.6.0,Bean (Royal Burgundy),3/17/2015,greenbean.png,
1.2.0.6.2,Not Planted,,,
1.2.0.6.4,Bean (Royal Burgundy),3/17/2015,greenbean.png,
1.2.0.7.1,Not Planted,,,
1.2.0.7.3,Not Planted,,,
1.2.0.8.0,Not Planted,,,
1.2.0.8.2,Not Planted,,,
1.2.0.8.4,Not Planted,,,
1.2.0.9.1,Quinoa (Brilliant Rainbow),3/17/2015,quinoa.png,
1.2.0.9.3,Quinoa (Brilliant Rainbow),3/17/2015,quinoa.png,
1.2.0.10.0,Quinoa (Brilliant Rainbow),3/17/2015,quinoa.png,
1.2.0.10.2,Quinoa (Brilliant Rainbow),3/17/2015,quinoa.png,
1.2.0.10.4,Quinoa (Brilliant Rainbow),3/17/2015,quinoa.png,
1.2.1.0.0,Not Planted,,,
1.2.1.0.2,Not Planted,,,
1.2.1.0.4,Not Planted,,,
1.2.1.1.1,Not Planted,,,
1.2.1.1.3,Not Planted,,,
1.2.1.2.0,Eggplant (Black Beauty),3/17/2015,eggplant.png,
1.2.1.2.2,Not Planted,,,
1.2.1.2.4,Eggplant (Black Beauty),3/17/2015,eggplant.png,
1.2.1.3.1,Not Planted,,,
1.2.1.3.3,Not Planted,,,
1.2.1.4.0,Not Planted,,,
1.2.1.4.2,Not Planted,,,
1.2.1.4.4,Not Planted,,,
1.2.1.5.1,Not Planted,,,
1.2.1.5.3,Not Planted,,,
1.2.1.6.0,Bean (Royal Burgundy),3/17/2015,greenbean.png,
1.2.1.6.2,Not Planted,,,
1.2.1.6.4,Bean (Royal Burgundy),3/17/2015,greenbean.png,
1.2.1.7.1,Not Planted,,,
1.2.1.7.3,Not Planted,,,
1.2.1.8.0,Not Planted,,,
1.2.1.8.2,Not Planted,,,
1.2.1.8.4,Not Planted,,,
1.2.1.9.1,Quinoa (Brilliant Rainbow),3/17/2015,quinoa.png,
1.2.1.9.3,Quinoa (Brilliant Rainbow),3/17/2015,quinoa.png,
1.2.1.10.0,Quinoa (Brilliant Rainbow),3/17/2015,quinoa.png,
1.2.1.10.2,Quinoa (Brilliant Rainbow),3/17/2015,quinoa.png,
1.2.1.10.4,Not Planted,,,
1.3.0.0.0,Tomato (Red Siberian),2/22/2015,tomato.png,
1.3.0.0.2,Tomato (Red Siberian),2/22/2015,tomato.png,
1.3.0.0.4,Tomato (Red Siberian),2/22/2015,tomato.png,
1.3.0.1.1,Not Planted,,,
1.3.0.1.3,Not Planted,,,
1.3.0.2.0,Not Planted,,,
1.3.0.2.2,Tomato (Siberian),1/6/2015,tomato.png,
1.3.0.2.4,Not Planted,,,
1.3.0.3.1,Not Planted,,,
1.3.0.3.3,Not Planted,,,
1.3.0.4.0,Tomato (Red Siberian),2/22/2015,tomato.png,
1.3.0.4.2,Not Planted,,,
1.3.0.4.4,Tomato (Red Siberian),2/22/2015,tomato.png,
1.3.0.5.1,Tomato (Siberian),1/6/2015,tomato.png,
1.3.0.5.3,Not Planted,,,
1.3.0.6.0,Not Planted,,,
1.3.0.6.2,Not Planted,,,
1.3.0.6.4,Not Planted,,,
1.3.0.7.1,Tomato (Red Siberian),2/22/2015,tomato.png,
1.3.0.7.3,Tomato (Siberian),1/6/2015,tomato.png,
1.3.0.8.0,Not Planted,,,
1.3.0.8.2,Not Planted,,,
1.3.0.8.4,Not Planted,,,
1.3.0.9.1,Tomato (Siberian),1/6/2015,tomato.png,
1.3.0.9.3,Not Planted,,,
1.3.0.10.0,Tomato (Red Siberian),2/22/2015,tomato.png,
1.3.0.10.2,Not Planted,,,
1.3.0.10.4,Tomato (Red Siberian),2/22/2015,tomato.png,
1.3.1.0.0,Not Planted,,,
1.3.1.0.2,Broccoli (Green Sprout),1/6/2015,broccoli.png,
1.3.1.0.4,Broccoli (Green Sprout),1/6/2015,broccoli.png,
1.3.1.1.1,Not Planted,,,
1.3.1.1.3,Not Planted,,,
1.3.1.2.0,Broccoli (Green Sprout),1/6/2015,broccoli.png,
1.3.1.2.2,Not Planted,,,
1.3.1.2.4,Broccoli (Green Sprout),1/6/2015,broccoli.png,
1.3.1.3.1,Not Planted,,,
1.3.1.3.3,Not Planted,,,
1.3.1.4.0,Not Planted,,,
1.3.1.4.2,Broccoli (Purple Sprout),1/6/2015,broccoli.png,
1.3.1.4.4,Broccoli (Purple Sprout),1/6/2015,broccoli.png,
1.3.1.5.1,Not Planted,,,
1.3.1.5.3,Not Planted,,,
1.3.1.6.0,Broccoli (Purple Sprout),1/6/2015,broccoli.png,
1.3.1.6.2,Not Planted,,,
1.3.1.6.4,Broccoli (Purple Sprout),1/6/2015,broccoli.png,
1.3.1.7.1,Not Planted,,,
1.3.1.7.3,Not Planted,,,
1.3.1.8.0,Not Planted,,,
1.3.1.8.2,Not Planted,,,
1.3.1.8.4,Broccoli (Purple Sprout),1/6/2015,broccoli.png,
1.3.1.9.1,Broccoli (Purple Sprout),1/6/2015,broccoli.png,
1.3.1.9.3,Not Planted,,,
1.3.1.10.0,Not Planted,,,
1.3.1.10.2,Not Planted,,,
1.3.1.10.4,Not Planted,,,
1.4.0.0.0,Cotton (UA 222),1/6/2015,cotton.png,
1.4.0.0.2,Not Planted,,,
1.4.0.0.4,Cotton (UA 222),1/6/2015,cotton.png,
1.4.0.1.1,Cotton (UA 222),1/6/2015,cotton.png,
1.4.0.1.3,Cotton (UA 222),1/6/2015,cotton.png,
1.4.0.2.0,Not Planted,,,
1.4.0.2.2,Not Planted,,,
1.4.0.2.4,Not Planted,,,
1.4.0.3.1,Not Planted,,,
1.4.0.3.3,Cotton (UA 222),1/6/2015,cotton.png,
1.4.0.4.0,Cotton (UA 222),1/6/2015,cotton.png,
1.4.0.4.2,Not Planted,,,
1.4.0.4.4,Not Planted,,,
1.4.0.5.1,Not Planted,,,
1.4.0.5.3,Not Planted,,,
1.4.0.6.0,Not Planted,,,
1.4.0.6.2,Cotton (UA 48),1/6/2015,cotton.png,
1.4.0.6.4,Not Planted,,,
1.4.0.7.1,Cotton (UA 48),1/6/2015,cotton.png,
1.4.0.7.3,Not Planted,,,
1.4.0.8.0,Not Planted,,,
1.4.0.8.2,Not Planted,,,
1.4.0.8.4,Cotton (UA 48),1/6/2015,cotton.png,
1.4.0.9.1,Cotton (UA 48),1/6/2015,cotton.png,
1.4.0.9.3,Not Planted,,,
1.4.0.10.0,Cotton (UA 48),1/6/2015,cotton.png,
1.4.0.10.2,Not Planted,,,
1.4.0.10.4,Cotton (UA 48),1/6/2015,cotton.png,
2.0.0.0.0,Not Planted,,,
2.0.0.0.2,Not Planted,,,
2.0.0.0.4,Not Planted,,,
2.0.0.1.1,Not Planted,,,
2.0.0.1.3,Not Planted,,,
2.0.0.2.0,Not Planted,,,
2.0.0.2.2,Not Planted,,,
2.0.0.2.4,Not Planted,,,
2.0.0.3.1,Not Planted,,,
2.0.0.3.3,Not Planted,,,
