name,image
Arugula,arugula.png
Belgian Endive,belgian_endive.png
Bell Pepper,bellpepper.png
Bok Choi,bok_choi.png
Broccoli,broccoli.png
Cabbage,cabbage.png
Carrots,carrots.png
Chard,chard.png
Cotton,cotton.png
Eggplant,eggplant.png
Green Bean,greenbean.png
Kale,kale.png
Lettuce,lettuce.png
Morell Mushroom,morell_mushrooms.png
Mustard,mustard.png
Onion,onion.png
Quinoa,quinoa.png
Raddicio,raddicio.png
Raddishes,raddishes.png
Red Velvet,redvelvet.png
Spinach,spinach.png
Tomato,tomato.png
Turnip,turnip.png